obs_date,reservoir_id,variable,value,source_kind,bulletin_file,fetched_at
2023-01-09,CAHORA BASSA,storage_pct,80.57,prose,BH025_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-09,CHICAMBA,storage_pct,53.78,prose,BH025_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-09,MUDA,outflow_m3s,1.5,prose,BH025_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-09,MUDA,storage_pct,72.13,prose,BH025_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-10,CAHORA BASSA,storage_pct,80.89,prose,BH026_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-10,CHICAMBA,storage_pct,53.86,prose,BH026_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-10,MUDA,outflow_m3s,1.5,prose,BH026_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-10,MUDA,storage_pct,72.13,prose,BH026_09.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-11,CAHORA BASSA,storage_pct,81.21,prose,BH027_11.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-11,CHICAMBA,storage_pct,53.9,prose,BH027_11.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-11,MUDA,outflow_m3s,1.5,prose,BH027_11.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-11,MUDA,storage_pct,72.13,prose,BH027_11.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-12,CAHORA BASSA,storage_pct,81.49,prose,BH028_12.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-12,CHICAMBA,outflow_m3s,682.28,prose,BH028_12.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-12,CHICAMBA,storage_pct,54.07,prose,BH028_12.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-12,MUDA,outflow_m3s,1.5,prose,BH028_12.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-12,MUDA,storage_pct,72.13,prose,BH028_12.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-14,CAHORA BASSA,storage_pct,81.81,prose,BH030_14.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-14,MUDA,outflow_m3s,1.5,prose,BH030_14.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-14,MUDA,storage_pct,71.09,prose,BH030_14.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-15,CAHORA BASSA,storage_pct,81.86,prose,BH031_15.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-15,MUDA,outflow_m3s,1.5,prose,BH031_15.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-15,MUDA,storage_pct,71.09,prose,BH031_15.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-16,MUDA,outflow_m3s,1.5,prose,BH032_16.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-17,CAHORA BASSA,storage_pct,82.14,prose,BH033_17.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-17,CHICAMBA,storage_pct,57.45,prose,BH033_17.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-17,MUDA,outflow_m3s,1.5,prose,BH033_17.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-17,MUDA,storage_pct,72.13,prose,BH033_17.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-18,CAHORA BASSA,storage_pct,82.37,prose,BH034_18.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-18,CHICAMBA,storage_pct,54.97,prose,BH034_18.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-18,MUDA,outflow_m3s,1.5,prose,BH034_18.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-18,MUDA,storage_pct,72.1,prose,BH034_18.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-19,CAHORA BASSA,storage_pct,82.74,prose,BH035_19.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-19,CHICAMBA,storage_pct,55.26,prose,BH035_19.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-19,MUDA,outflow_m3s,1.5,prose,BH035_19.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-19,MUDA,storage_pct,72.13,prose,BH035_19.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,CAHORA BASSA,storage_pct,83.21,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,CHICAMBA,storage_pct,55.5,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,MUDA,outflow_m3s,1.5,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,MUDA,storage_pct,73.16,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,CAHORA BASSA,storage_pct,84.1,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,CHICAMBA,outflow_m3s,31.5,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,CHICAMBA,storage_pct,55.5,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,MUDA,outflow_m3s,1.5,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,MUDA,storage_pct,73.16,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-24,CAHORA BASSA,storage_pct,85.37,prose,BH038_24.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-24,MUDA,outflow_m3s,1.5,prose,BH038_24.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-24,MUDA,storage_pct,72.13,prose,BH038_24.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CAHORA BASSA,outflow_m3s,1870.88,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CAHORA BASSA,storage_pct,86.8,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CHICAMBA,outflow_m3s,29.8,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CHICAMBA,storage_pct,55.55,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,MUDA,outflow_m3s,1.5,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,MUDA,storage_pct,72.13,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
